review_text,Sub - Category
"the facilities like wi-fi, parking, and room service were reliable and added to the comfort of the stay.",Satisfaction
"lobby place, sitting arrangement can be enhanced",neutral
hotel is excellent.,Delight
"the hotel is situated close to the airport and very convenient to travel around the city. the room was beautiful with all the amenities & comfort, which makes the stay in jaipur memorable.",Satisfaction
my stay at hotel royal arcade was truly wonderful. they ensured my room was near the lift for convenience and even upgraded me to a club lounge room to enhance my stay.,Delight
"perfect stay enjoy a relaxing stay at a luxurious plunge pool suite with your kid, offering a private pool for endless fun. the spacious suite provides comfort and privacy, perfect for quality family time.",Delight
good services and accommodation wonderful experience from service and the stay at hotel royal orchid jaipur.,Delight
also the rooms are clean and ambience is good.,Satisfaction
the rooms were spacious and interiors were pleasant. pros of this hotel is the excellent buffet breakfast and the live performances in the lobby.,Delight
"we booked for triple occupancy, we were not provided basic amenities.",Disappointment
average stay booked the room with attached plunge pool. it seemed that at the time of construction the hotel was very good with all latest amenities but over time due to poor maintenance it has lost its charm.,Disappointment
"jaipur diaries enjoyed staying at royal orchid and holiday inn great food, nice room, gym and excellent services.",Delight
"average stay room cleanliness is okay, amenities are good. hospitality and breakfast buffet can be improved considering the 5 star rating of hotel.",neutral
tour excellent stay with all facilities and security.,Delight
hotel lobby was excellent.,Delight
also the fitness center is also amazing,Delight
"amenities: the hotel offered a range of high-quality amenities. the pool and fitness center were excellent, and the spa services provided a relaxing escape. in summary, the royal orchid hotel in jaipur delivered a premium experience with its luxurious rooms, excellent amenities, top-tier food, high standards of safety and hygiene, and exceptional staff service.",Delight
rooms are very nice allover good facilities.,Satisfaction
"excellent stay comfortably stay at royal orchid hotel jaipur nice staff & nice facilities, clean room & washroom, super pool area & i used gym that's was amazing....room views was amazing front of wtp mall , i visited again soon....????",Delight
"good stay hotel is well furnished, rooms are good condition. hotel location is better but food quality is not upto the mark as per hotel name and fame.",neutral
amenities some of amenities were not provided like room slippers shoe cleaner towels shower-caps and other,Disappointment
"is more a family hotel not a business hotel. most of the amenities like gym, clean air absolute for business travelers are not upto the mark.",Disappointment
amenities and service room condition is very poor its not feel like 5 satr hotel and room ac are making noise when i was stared and room service is slow overall experience is not good,Disappointment
"clean rooms, good reception. would recommend for good budget five star hotel.",Satisfaction
"poor stay i don't get bath-rope amenities, linen and any special services and the bathroom fixtures are not working properly, the layout of room is not perfect overall i don't like the stay",Frustation
luxurious stay.,Delight
"budget friendly at this rate this is one of the best hotel in jaipur here you get the bathtub, swimming pool access.",Delight
"also i booked club room but was given deluxe room and joke was both room are identical but club room is charged 2k extra, there was free airport pickup mentioned but hotel later denied same and asked to check with mmt.",Frustation
"the amenities in the room were top-notch, including a flat-screen tv, a well-stocked minibar, and a coffee maker. one of the highlights of my stay was the hotel's dining options. the hotel's facilities were also impressive. additionally, the hotel had a beautiful swimming pool and a spa, perfect for relaxation and unwinding. finally, the location of the pleasant hotel was ideal. it was situated in a convenient area, close to popular attractions and public transportation. from the exceptional service to the comfortable accommodations and convenient location, this hotel truly made my trip memorable.",Delight
"this upscale hotel exceeded my expectations with its impeccable service, elegant ambiance, and top-notch amenities. the room itself was spacious and well-appointed, providing a comfortable and luxurious haven after a long day of exploring. the attention to detail in the room's design and the quality of the amenities offered were outstanding. additionally, the hotel's convenient location made it easy to explore the city's popular attractions.",Delight
luxury redefined the royal orchid hotel at jaipur was a really great experience in terms of hospitality and food. the location of the hotel is in a plush area surrounded by malls.,Delight
amenities and services were also good,Satisfaction
rooms was very neat. bathroom has good space and included a tub.,Satisfaction
the lawn and lounge were also enjoyable.,Satisfaction
i really liked the amenities.,Delight
okay okay hotel an old property maintenance was going on repairing been done as we witness the changes swimming on top inviting pigeons but service was good i assume it’s more reasonable available compare to other properties in the same vicinity,Satisfaction
all amenities are present there that is required.,Satisfaction
"poor stay the hotel said that they do not have rooms, but after 10 mins of argument they allotted the room.",Frustation
always lovely stay at this hotel fully recommended.,Delight
it is centrally located.,Satisfaction
and they allot those rooms which are not booked by us. overall plz avoide this hotel for checkin. you have many other good options near this property.. there is completely wastage of money for this hotel to checkin...,Disappointment
good hotel good hotel to stay away from the city noise and tariff. the only minus about the hotel will be breakfast.,neutral
best experience with plunge pool location of hotel is pretty accessible. favorite part is room interior and private plunge pool.,Satisfaction
awesome service it was an amazing stay with all amenities available.,Delight
we totally loved the stay in hotel.,Satisfaction
rooms are spacious with bathtub.,Satisfaction
tidy and spacious rooms.,Satisfaction
best hotel to stay. the hotel location is great. rooms and huge and clean. all rooms have bathtub.,Delight
best hotel in the town it’s the best hotel in the town and value for money. rooms are clean and huge with bathtub.,Delight
"decent business hotel, value for money pros:
1. clean and big rooms
3.",neutral
best hotel to stay close to airport. hotel rooms are good. rooms and bath rooms are clean.,Delight
"do not expect a great view of the city but there is some places which is nearby this hotel. e. g: gt, world trade park, jawhar circle
if you are planning to visit forts or city palace then you should consider hotel near mi road.",neutral
"the only bad point is swimming pool is not open, as per hotel management its not open due to government guidelines.",Disappointment
the main attraction of this hotel is in room swimming pool. and the staff at the hotel is also great. they provided all thr amenities and well maintained property.,Delight
"second, this hotel doesnot have smoking support rooms. no activity in hotel, if they have puppet show then inform guest or u r doing for hotel staff. they allot rooms and their work finished.",Disappointment
but few things considered can take this hotel to another level. please take care of these things to take your hotel to next level.,neutral
"average stay food quality, house keeping, technical maintenance and service on call is too bad, i book same hotel every time but since my last two visits it was too bad didn't expect this service from royal orchid",Disappointment
amenities: the hotel offered a range of high-quality amenities. safety and hygiene: the hotel prioritized safety and hygiene. the security measures in place made me feel safe throughout my stay.,Satisfaction
"good stay hotel is well furnished, rooms are good condition. hotel staff's behaviour is good. i feel only single point that food quality is not upto the mark so hotel should work on it.",neutral
"terrible stay property is good service is very pathetic for 1 thing we need to call 2 to 2 times for room dinning or any room services
taken pool room but pool boiler was not working since 2 days check out experience is worst",Frustation
very well maintained facilities.,Delight
the hotel is recently renovated.,Satisfaction
Hotel Royal orchid A comfortable stay with a great view from our rooms and service were top notch met vidisa at reception and that person made my day,Delight
"Best stay Nice room , jagguzi poll were so good Vidisa gave us introductions of the property so well food was brilliant",Delight
Excellent Stay We have excellent stay with superb hospitality. Especially relationship Bidisha was very cordial. Thanks for stay,Delight
Excellent Stay Receptionist was amazing. She upgraded our room at free of cost basis on my humble request. We had a great time at bar and live music. Cleaning was amazing,Delight
Good Stay All good,Satisfaction
"Excellent Stay It was a great stay, the hotel staff - Vidhisha , gave a great visit to the property, and as requested was given a great decoration from their end.


I would suggest more of my friends",Delight
Hotel royal orchid Bidisha is very friendly with kids and hospitality of hotel is amazing coming back to stay with hotel orchid,Delight
Completed stay it was a pleasant stay bidisha helped us a lot in understanding property well and food was also delicious,Delight
wow favolous stay i frequently come here as usually my stay is comfortable i like food staff ambiance and this place,Delight
best nyc and good stay vidisa is very polite and nice awsome experience in royal orchid jaipur really had great time,Delight
"only the best sta HOSPITALITY WAS VERY GOOD....FOOD QUALITY IS ALSO GOOD...
GOOD EXPERIENCE , DID NOT GET TO VISIT POOL",Delight
"good It was good !! All the best ,... hospitality is good",Satisfaction
"Business Trip it was a pleasure staying at a good property, the location is approximate for transit. bidisha was very helpful",Delight
"Average Stay 1. food was not good in quantity and quality
2. staff was not professional up to the point
3. ?room environment was not good.",Frustation
"Excellent ?? Really it's wonderful to stay in Royal Archid as well,
Food is very good and also variety of the foods available to eat. Response is very good.",Delight
Excellent Stay Very satisfying experience excellent ambiance extra ordinary service. Would certainly stay again whenever i visit jaipur,Delight
Best sta Hotel royal orchid has the best service and lovely staff like vidisa and others resturant staff rajendra from hk was also good smile every-time,Delight
Bad hotel The services are very poor. I am highly dejected by their hospitality and the way they treat their guests,Frustation
"Good Stay Had a good stay, very supportive staff Daya Rani, Vidisha, Rasna…",Satisfaction
Gd Stay was comfortable bidisa isha and anjali was the prominent staff of the hotel and provide smooth check in,Satisfaction
"It was quite good Breakfast is not good sarservice was so good and overall experience was going so, next time i'm stay in this hotel",Satisfaction
Good experience with hotel orchid jaipur next time i will plan to stay in y Excellent service provided by hotel staff. Whenever i will stay in jaipur i will choose only your hotel,Delight
Fa The stay was good loved the etay and great view and lovely ambience and staff nice hospitality bidisa,Satisfaction
"Lovel Excellent stay lovely ambience by the hotel
bidisa is an excellent staff wonderful staff
good food.",Delight
Nice a Its very nice ms vidisa took care of us very well and food was fantastic and testy awesome taste and good room,Delight
"Gud Stay was good, staff was hospitable.............. everything looked gud and ..........................",Satisfaction
Goo Wonderful experience at hotel royal orchid jaipur and specially mention bidisa for her wonderful behaviour,Satisfaction
Goo Stay was comfortable and hospitality was good of staff good and polite food was gd and loved the ambience bidisha is very child friendly good with kids,Satisfaction
Excellent Stay We liked our stay it was pleasant. We loved it. We loved the complimentary baby food. Breakfast was also delicious,Delight
"Amazing Wonderful stay!! Had family fun , perfect location … good food and ambience … thanks to bidisha for help",Delight
Good experience. . Great experience. Stay was pleasant.,Delight
Nice place to stay Very pleasant and comfortable food was good hopefully we would visit again hospitality was good ms bidisa was kind,Delight
Excellent Stay All good vidisa waz very nice with kids and all staff were friendly and food was good. Nice,Delight
Poor Stay its was an awful stay.The food served is cold.panner makhani is very bad in taste.House service are taking a lot of time to come to clean the room,Frustation
top notch Vidisha Màm is awesome with my kids candy she used to gave every time we met and hospitality was top notch,Delight
Its good exp to stay there Food quality was excellent and staff is very polite and professional its a wonderful experience to stay there,Delight
Average Stay Checkout could have been better. The phones were not working properly,Disappointment
"Poor Stay I opt and paid for upgrade the room for plunge room, unfortunately they don’t take care of their clients seriously. Pool water is not heated and heater not working and fruit basket which is offered as complimentary they don’t serve, they will serve only after several days request from the client.",Frustation
The place to be I was staying at this property for first time but let me tell you I wouldn’t regret the decision and will make it my first option for all my next visits. I travel often for my business but never had any medical emergency during my travels for last 20 years. It was 7 pm I was in my room and took a medicine; within seconds I was heavily breathing. I called the front desk for help; there comes my heroes Mr. Rishab Tiwari and Mr. Anurag Kotia. They wasted no time and took me to Fortis Jaipur and were there till I was not fine to come back to hotel around 11:30 pm. It was an allergic reaction to the medicine. Their care didn’t ended up there; both of them ensured I had light food (dal khichadi) and even packed some fruits for my next day travel. I thank both of them and the entire team (whom I might have missed naming). I can’t describe in words the help and dedication of Rishabji and Anuragji.. Thanks once again !’,Delight
Pathetic Pathetic maintainence of the hotel. Not at all worth even to spend 1 night there. No body should book this. I am never going to book radisson property anywhere in india after this worst experience,Frustation
"Royal orchid - jaipur Super property with good spacious rooms, all in room amenities. The breakfast also had a good spread",Satisfaction
"Excellent Stay I had a great experience during my last stay in royal orchid everything was so good the food, room restaurant, swimming pool bar. It was really excellent stay",Delight
"Good Stay The property is very big, location is also good, facilities are perfect. Only thing that needs improvement is the plumbing. Rest all awesome experience",Delight
"Royal experience Amazing stay, courteous staff and good food. Rajasthan people are welcoming, warm and they sure know how to treat their guests",Satisfaction
Average Stay As we have requested for early check in at the time of booking from make my trip but we were charged extra amount from hotel side for early check in which is not worth,Disappointment
Poor Stay Rooms and room service was good. The breakfast and attitude of the staff was horrible. No taste. Making faces when asked for options without onion garlic.,Frustation
Recommend stay Experience is good. Very well maintained and staff is very professional. And worth the time and money.,Delight
"Poor Stay I along with family checked into royal orchid jaipur on 5th oct 2024 at 10:30pm after a long 5 hour drive from delhi. We were allotted room no 632. Since we all were tired, we wanted to take bath and sleep early. As soon as my son took bath, we realised there is water leakage in bathroom and it started spilling towards our room. So rest of us decided not to bath and sleep. But to my surprise the ac was not working in our room. I wanted to call reception and inform about it then i figured out that the landline provided in the rooms were not working either. Frustrated by the series of failures, i went down and informed reception who then sent technician to check the issue. After inspection he said it would take time to fix the issues. Since there was no specific time mentioned to fix the issue, they asked me to shift to another room. But we had already unpacked our bags in this room(632. With no option left, we packed all our bags and then moved to room no 636 which atleast had the ac working. It was night 1 am when i moved to this room and my entire family was very upset with this experience. I will never book nor recommend anyone else to book royal orchid who cannot even do a basic quality check of the rooms before they allocate it to guests. Regards
vijay t",Frustation
excellent stay and good experience ?????? ???? ????? ?? ???? ???? ??? ?????? ?? ???? ????? ??? ??? ????? ?? ??????? ?? ????? ?? ???? ?? ??? ?????????? ???? ????? ??,Delight
"Good Stay It was good, but there’s still room for improvement in reducing the waiting time for the allocating the room to the customer.",neutral
"Excellent Stay We booked a twin bed room, but it wasnt available so they alloted us room with pvt pool?? best hotel in jaipur",Delight
"Excellent Stay Except for the delayed check in process everything was good
the breakfast buffet and room was amazing",Delight
Terrible Stay Due to some emergency i had requested to cancel my booking and provide me a certain refund but the hotel rejected and did not provide anything,Frustation
Excellent It was a wonderful experience. I just loved every bit of my stay. The hospitality and grandeur was amazing.,Delight
"Pathetic experience Water leakage from the ceiling, area in front of the bathroom. I found there is a deep scratch on my car rear bumper left side",Delight
"Excellent Stay Very well maintained
very clean staff was very good",Delight
"Good Stay Stay was comfortable, on call service response can be improve",Satisfaction
"Very well stay experience Location was very good, property is also very good but reception staff could be better, he seems little rude.",neutral
Average Stay Aircondition was not working in any room properly. we have noticed few cokrog inside the room. stay was not comfortable,Disappointment
"Orchid means comfort The location, the food and the the property is very good and over it icing the cake are the excellent services by its most cooperative staff.",Delight
"Anil Excellent property n staff facility available and support to the customer for pick n drop, nice safe place for family children and elders",Delight
Excellent Stay All-ready given. All-ready submitted,Delight
From worst to better When i checked in i was deliberately given a room which was not cleaned properly toilet flush not working room temperature setting button not working wash basin was not cleaned so i went to reception again to change the room then it was done. Means i had to fight for a good room.,Frustation
"Terrible Stay Worst experience of my life, staff were not supportive and they were not bothered to deliver orders timely. I had to give 4-5 follow up call for everything.",Frustation
Poor Stay Bad behaviour you responsible staff very care less.,Frustation
"Average Stay Food was very costly and outside food is not allowed, room cleaning service was not upto the mark, internet is extremely bad and mobile network reception too",Frustation
"Good Stay Comfortable stay, staff was quite welcoming and cooperative.",Satisfaction
Excellent Stay I love to stay again. Breakfast variety staff are good lawn outside. I enjoy my morning tea after breakfast.,Delight
Awesome stay in the royal stay of royal orchid Awesome it was the best rajasthan royalistic enjoyment. Each moment was special for the enjoyment and it made my day,Delight
"Poor Stay Restaurant teem was not cooperative at all
we even have to adjust in our food even if it was included in our package
after checkout the reception team was calling to settle some nonsense bills, they even sent me a copy of the bill to pay",Frustation
Good Stay The room was good. However the room didn’t have tea/coffee maker which was surprising for a hotel of this stature!,neutral
"Good Stay I had a great stay there, all the amenities as well as food was good. One can definitely stay here when visiting jaipur",Satisfaction
Poor Stay Tea was not again free voucher for club is useless the never offer the premium drinks false commitment made by the staff. Morning tea was not good after doing complaints still tea taste was the same pathetic again free voucher for club is useless the never offer the premium drinks false commitment made by the staff,Frustation
"Very good hotel in the jaipur and very good staff, good quality food Very good stay and good behaviour all staff and good quality food, very good cleaning room and very good behaviour staff",Delight
Good Stay Good service provided by mr bhawan loved the stay expecting to get good deals and room in future. Sure,Satisfaction
. The location is at best place near to airport and there is no issue in transportation and all everythiing is available at service.,Satisfaction
"Excellent Stay I had an outstanding experience at hotel royal orchid jaipur, jaipur, giving it a well-deserved 5-star rating. The service and ambiance surpassed my expectations, ensuring a comfortable stay. I look forward to future visits and appreciate the excellent hospitality provided by team makemytrip.",Delight
Terrible Stay Plunge pool was too hot person was in my room for longer time so i didnt get privacy. Ac was not working and person came to fix it at 12. 00. Someone entered in to our room to clean even we have not requested when we were not there,Frustation
"Great stay at royal orchid jaipur All good, restaurant staff, housekeeping and food too. All great, all really polite and cooperative. While traveling to jaipur since almost more then five years my stay is fixed.",Delight
Average service House keeping and room services were not upto the mark. Things work out post couple of calls were made to house keeping even details about room and facilities within were absolutely not explained overall average,Disappointment
Gala dinner sca Gala dinner is joint scam by mmt and royal orchid. Its not mentioned while booking the hotel that its compulsory to buy gala dinner and not even in booking confirmation email its mentioned.,Frustation
"Amazing every thing is good i really like to stay here again thank you so m Experience is very valuable, good service, rooms are amazing, and i really like to stay again. Thank you so much",Delight
"Staying experience It always been a great experience staying at royal orchid, food, hospitality, staff everything and everyone is very cooperative",Delight
Terrible Stay Okay,Frustation
Excellent Stay It was awesome and comfortable,Delight
Average Stay The staff was not professionally trained. Breakfast spread was average.,neutral
Experience at royal orchid! A great experience for staying at royal orchid great location peaceful best amenities and everlasting experience.,Delight
Pink city royal orchid Stay was excellent nice hospitality polite staff and so many cultural activities such as puppet show etc,Delight
Average Stay Room key not worked and waited for around 20 mins to got issue resolved,Disappointment
"Stay Bed is not comfortable, very much bouncy. Otherwise property was nice, and staff also helpfull. Thank you",neutral
Great stay It would be good if you include a spa in your hotel especially in tourist places such as jaipur. Cost of taxi services need to be optimised for price because when a tourist compares your taxi prices with outside prices there is a huge difference and that would not create a good impression in the minds of tourists,neutral
Amazing One of the finest hotel i've ever stayed thank you make my trip and hotel royal orchid for the amazing experience,Delight
"Everything was good It was my 2nd stay at hotel royal orchid but this time i didn't get that kind of service that i got last time, but it was still pretty good.",Satisfaction
Awesome Sincerely staaf and very clean property i would like to go back to this hotel royal orchid hotel best,Delight
Great welcome and great aervice It was a great stay with your hotel and i will surely recommend to others. Thanks to you for the great service,Delight
"Nice location I’ve stayed earlier too at royal orchid, jaipur. It’s a bit far for people travel-ling from delhi but near to airport. The hotal however, needs to work on food quality. I found the breakfast repetitive.",Satisfaction
Fantastic stay ?? If you’re looking towards staycation in jaipur you should definitely choose royal orchid as its one of the bestest properties in jaipur there warm welcoming…and small small gestures will win your heart?? food is sooo soooo amazing and staff is soo helpful ?????? There ambience is great???? Loved my stay here ??,Delight
"Deeply annoying experience Firstly, to our surprise hotel didn't provided us the room we booked, instead they gave us twin bed room instead of king size bed. After complain g they agreed to shift us in plunge room for one day and next day we shifted our luggage to another room. As mentioned, while booking there is no welcome drink provided by the hotel management.",Frustation
Quality product Stay was comfortable and nice but there is also some need to improve product offered like toiletries and towel,Disappointment
"Poor Stay As expected room service is not good. We faced lots of issues in room like ac not working, door not working, no towels in room. I didn't like",Frustation
Good property It’s a pretty nice property in the center of the city,Satisfaction
"Great experiernce The overall experience was great,",Delight
"Room service fraud charges When asked to bring dinner/ lunch to room that was included in stay package, they again charge for food. After few request they sent the food to room and then at checkout, they charge extra. Hotel staff lie about the same and does not take accountability for what they said before",Disappointment
"Terrible Stay The experience was very bad at the end
i had a discount on candle light dinner but hotel charged me for that and the baby food was also not given for my baby. The room towels were not clean and the pool was also dirty
staff service was so slow it usually took hours whenever i asked for something from housekeeping also, they dont bring
i have to call them 3 or 4 times or go to them directly and get the things
my baby food was also not prepared i asked them to give me khichdi for 7 month baby without salt and spice
still they added spices and it took 1 hour for them to give it to me
and same with the soup they prepared for my baby
it had huge chuncks of chicken and vegetables which a small baby cannot chew
although i was paying for everything i was ordering for my baby
still they were not preparing it as per my need",Frustation
"Excellent Stay Amazing service, good staff and beautiful property to stay in",Delight
Excellent Stay Hello. The stay was good breakfast was amazing overall worth the money,Delight
Excellent Stay Ok.,Delight
"Nice stay We had a great stay at hotel royal orchid, the food was tasty, service was also largely good, location of the hotel is also good and rates are competitive",Satisfaction
Average Stay stay is too good but food quality is so poor and harmful bcz more than spicy ??? and sour,neutral
Good Stay Good.,Satisfaction
Terrible Stay 1. Worst experiance unnecessary demands extra charges overrated,Frustation
"Terrible Extorting money on new years. With all that said they dented my car. The entire left side of the car, not even a small scratch",Frustation
"Average Stay It's okay to stay not very good
no towels available at the time of entry
no tea coffe available
no hot water kattle available breakfast was okay not upto the mark",Disappointment
Good Overall the exp is good will again continue this hotel in next visit ??,Satisfaction
"No proper management The hotel staff informed us to check out at 1 pm, but on the day of the checkout they had called us around 11. 30 am and asked us to checkout in next half an hour.",Disappointment
Terrible Stay stay is too good but food quality is so poor and harmful bcz more than spicy ??? and sour,Frustation
"Poor Review. Firstly the service was very unsatisfactory and secondly the hygiene of the place. There was no bath robe / towel provided or proper room facility, later when i asked for whiskey glass the staff was so pathetic that he gave me glass which is kept on basin of the bathroom. Is this the proper way? i would highly recommend not to visit this place unless you want to ruin your stay.",Frustation
"Best hotel in jaipur Excellent hotel, staff, food, service",Delight
Average They didn’t see the extra instructions of mm t app and even after telling them to do so. They didn’t do it.,Disappointment
"Great hotel at a nice location We stayed for a night at the royal orchid and it was a memorable stay. Great property at tonk main road, will appointed room, nice restaurants and great food. Highly recommend to others",Delight
"Regarding stay & food I stayed in property for 2 nights. Stay was good & pleasant, but food was not so good. It was ok ok.",neutral
Review I stayed for a day and it seemed a decent place to stay.,Satisfaction
"Ambience Excellent ambience, interior awesome",Delight
Excellent stay Great stay and service but best of them all was the food.,Delight
Amman india team stay in orchid jaipur It was a great stay and excellent hospitality at orchid jaipur!,Delight
Superb Amazing and so relaxing to be there.,Delight
"Average Stay mini fridge was not working
warm water was not coming",Disappointment
Staying experience Staying experience is good best is hygiene,Satisfaction
Very nice Very nice.,Satisfaction
Very cooperative staff I have a note of 2000 slightly tear and i have to pay in cash for swimming costume and have to go to atm to take cash but the staff is so cooperative that they accept the torn note,Satisfaction
"Poor Stay I asked for packing the breakfast but he refused it name of that employee in resturent was amit
but all good hotels have this facility if you are not taking breakfast and request for packing they do do the behavior of that employee was also not good when i said i will write he said do it it is not my policey. No facility gor driver stay that cost 1500 extra",Disappointment
Few issues I faced issues on last day as hotel gets crowded and breakfast arrangements seems chaotic. I booked most costlier room still they were charging me minibar biscuits which my kid accidentally eaten. Minibar is very overpriced.,neutral
"Awesome stay Family enjoyed the pool, ambience and dinner",Delight
Poor Stay when i check in room service is very slow so i don't like. Pool side area was also not clean,Disappointment
Good It was really good and fast service from the house keeping and breakfast was very good,Delight
Ok ok types 2 days stay was okay types. On reception jyoti was very helpful and overall expert was ok types,Satisfaction
Good property Good staff good staff good facility's,Satisfaction
Terrible Stay Hotel staff is not helpful. Pool is not clear their is a weird smell coming from the water,Frustation
Good sarvice. N food Nice one. Excellent food. Best service,Delight
"Comfortable stay near airport Rooms are big and spacious, mattresses are comfortable. Good house keeping.",Satisfaction
Hotel royal orchid jaipur Best hotel in jaipur and front office staff is very good behaviour and minimum time of check in and check out.,Delight
Point of concern Poor wi-fi connection. Could not enjoy the tv also.,Disappointment
Everything great Namaste enter and out make your day also better,Delight
Excellent Stay Very good ambience and food quality,Delight
It was an official stay It was great experience. Specie,Delight
Good property but not upto 5 star standards This is a over rated property. Prices are like 5 star standards but i will rate the property as 4 star or 3 star standard keeping in view the ambiance and service.,Satisfaction
Reception people Reception avoid the discount offered by mmt but later they gave,Disappointment
Ajad beniwal Nice experience good palace and staff friendly environment,Satisfaction
Love their room and bathroom A good and royal stay in jaipur,Satisfaction
"Terrible Stay IT was awesome,I checked in s here second time ,??",Frustation
"Loved it Totally worth to stay, great food, help-full humble staff, loved it",Delight
Excellent Stay Food quality and verity was very good,Delight
Location Next to hotel is a dumping ground. It is really unhygienic.,Disappointment
Good property Very comfortable and breakfast spread is great.,Delight
Awesome stay We enjoyed alot during our stay.,Delight
"Location is good, center of jaipur It was nice expireance with royal orchid hotel. I have also in past with this hotel",Satisfaction
Average Service was good. Dinner was also good but breakfast was not at all tasty,neutral
"Royal Orchid felt like a 3 star property They are trying hard to fit into a 5 star property but they have a long way to reach there. Too many restrictions/questions/ no outside food/visitors allowed, Hotel food with taxes is going to be too heavy on anyone's pocket.",Disappointment
"The service, room & washroom were pathetic. First of all the service wasn’t good. Moreover i’m a frequent traveler and i stay at various star properties. I’d gone jaipur for a business trip and was staying with my brother. We happened to have our male business colleagues come down to our room for a meeting but the front desk team kept calling and telling outside guests not allowed and ask them to vacate immediately that was very embarrassing. Moreover the morning breakfast which they offered was too poor in taste, quality as well as variety. I would never stay there again.",Frustation
Excellent Property is on main road 5 min drive from airport,Delight
Someone ringing the doorbell Someone was repeatedly ringing the doorbell,Disappointment
Excellent stay Every think is find. Recommended for booking,Delight
Average Location was not good but food and hygiene was good. Swimming pool was closed in name of corona which is totally irrelevant,neutral
"Excellent Stay Good stay with good expereinece, stay solo for office work.",Delight
Location Nicely located. Beautiful property. Neat and clean.,Satisfaction
Almost good All things are normal but its all-most good,Satisfaction
Great hospitality Everything was great. A nice stay to spend your weekend and can be helpful for other events as well. Breakfast is also good,Delight
Awesome premium plunge rooms This was one of the best stays i had. The premium plunge rooms was amazing and perfect for our group and exactly what i was looking for. Out of all the staff was very cooperative.,Delight
Excellent stay Everything was very good and it was a very nice experience for is,Delight
"Nice stay Stay was good, breakfast was ok. It guy was really helpful l",Satisfaction
Loaction It i located on tonk road with every place of city easily accessible,Satisfaction
Good Breakfast variety was ok. However food taste was not good. The things ordered from live menu were good.,neutral
Washroom was missing with slippers Washroom was missing with slippers,Disappointment
Perfect stay Really enjoyed the stay. The property is amazing and the premium plunge room is best for couples.,Delight
Nice stay Loved it. Will visit again probably t,Satisfaction
Average Stay Satisfy. Only room cooling is the concern,Satisfaction
Best Best hotel with best staff and Sunita from front office was very courteous,Delight
Excellent Stay Located very near to airport. It is on the main road so convenience is not a problem any time.,Delight
It was a average stay Stay was average. Room service is very poor and they take really long to check in and give room. Although I checked in at 7. 30 pm still took really long,Satisfaction
Place where the peace with beauty lies It was really good and stay there was a good experience,Satisfaction
Good Stay The room was attached with another room so the sound was coming from orher side.,Satisfaction
"Ambience Everything is good, food is also good",Satisfaction
"Food and colling Food quality was not good as expected from royal orchid, i noticed mostly people were ordered food from outside. Also the air conditioning was very bad.",Disappointment
